local_authority_name,count_date,all_motor_vehicles
Kirklees,10/07/2000,251
Kirklees,10/07/2000,240
Kirklees,10/07/2000,217
Kirklees,10/07/2000,242
Kirklees,10/07/2000,229
Kirklees,10/07/2000,200
Kirklees,10/07/2000,279
Kirklees,10/07/2000,336
Kirklees,10/07/2000,425
Kirklees,10/07/2000,521
Kirklees,10/07/2000,423
Kirklees,05/04/2000,796
Kirklees,05/04/2000,1235
Kirklees,05/04/2000,1657
Kirklees,05/04/2000,1430
Kirklees,05/04/2000,1238
Kirklees,05/04/2000,1144
Kirklees,05/04/2000,1402
Kirklees,05/04/2000,1310
Kirklees,05/04/2000,1241
Kirklees,05/04/2000,1336
Kirklees,05/04/2000,1447
Kirklees,05/04/2000,1629
Kirklees,05/04/2000,1430
Kirklees,05/04/2000,710
Kirklees,05/04/2000,929
Kirklees,05/04/2000,786
Kirklees,05/04/2000,808
Kirklees,05/04/2000,833
Kirklees,05/04/2000,885
Kirklees,05/04/2000,905
Kirklees,05/04/2000,936
Kirklees,05/04/2000,939
Kirklees,05/04/2000,1049
Kirklees,05/04/2000,1149
Kirklees,06/10/2000,543
Kirklees,06/10/2000,538
Kirklees,06/10/2000,245
Kirklees,06/10/2000,165
Kirklees,06/10/2000,164
Kirklees,06/10/2000,175
Kirklees,06/10/2000,185
Kirklees,06/10/2000,176
Kirklees,06/10/2000,250
Kirklees,06/10/2000,245
Kirklees,06/10/2000,319
Kirklees,06/10/2000,269
Kirklees,06/10/2000,148
Kirklees,06/10/2000,291
Kirklees,06/10/2000,243
Kirklees,06/10/2000,318
Kirklees,06/10/2000,292
Kirklees,06/10/2000,234
Kirklees,06/10/2000,201
Kirklees,06/10/2000,217
Kirklees,06/10/2000,254
Kirklees,06/10/2000,321
Kirklees,06/10/2000,486
Kirklees,06/10/2000,389
Kirklees,13/10/2000,2759
Kirklees,13/10/2000,2713
Kirklees,13/10/2000,2690
Kirklees,13/10/2000,2954
Kirklees,13/10/2000,2981
Kirklees,13/10/2000,3472
Kirklees,13/10/2000,3593
Kirklees,13/10/2000,3770
Kirklees,13/10/2000,3814
Kirklees,13/10/2000,3560
Kirklees,13/10/2000,3452
Kirklees,13/10/2000,3180
Kirklees,13/10/2000,2749
Kirklees,13/10/2000,3092
Kirklees,13/10/2000,2829
Kirklees,13/10/2000,2875
Kirklees,13/10/2000,2934
Kirklees,13/10/2000,3188
Kirklees,13/10/2000,3670
Kirklees,13/10/2000,3535
Kirklees,13/10/2000,3299
Kirklees,13/10/2000,3067
Kirklees,13/10/2000,3250
Kirklees,13/10/2000,3009
Kirklees,10/05/2000,440
Kirklees,10/05/2000,492
Kirklees,10/05/2000,300
Kirklees,10/05/2000,283
Kirklees,10/05/2000,271
Kirklees,10/05/2000,244
Kirklees,10/05/2000,306
Kirklees,10/05/2000,283
Kirklees,10/05/2000,308
Kirklees,10/05/2000,326
Kirklees,10/05/2000,370
Kirklees,10/05/2000,313
Kirklees,10/05/2000,205
Kirklees,10/05/2000,228
Kirklees,10/05/2000,250
Kirklees,10/05/2000,203
Kirklees,10/05/2000,238
Kirklees,10/05/2000,237
Kirklees,10/05/2000,252
Kirklees,10/05/2000,230
Kirklees,10/05/2000,267
Kirklees,10/05/2000,334
Kirklees,10/05/2000,341
Kirklees,10/05/2000,370
Kirklees,31/03/2000,504
Kirklees,31/03/2000,786
Kirklees,31/03/2000,515
Kirklees,31/03/2000,403
Kirklees,31/03/2000,397
Kirklees,31/03/2000,403
Kirklees,31/03/2000,427
Kirklees,31/03/2000,474
Kirklees,31/03/2000,639
Kirklees,31/03/2000,617
Kirklees,31/03/2000,629
Kirklees,31/03/2000,560
Kirklees,31/03/2000,452
Kirklees,31/03/2000,614
Kirklees,31/03/2000,367
Kirklees,31/03/2000,400
Kirklees,31/03/2000,485
Kirklees,31/03/2000,510
Kirklees,31/03/2000,481
Kirklees,31/03/2000,462
Kirklees,31/03/2000,649
Kirklees,31/03/2000,607
Kirklees,31/03/2000,649
Kirklees,31/03/2000,515
Kirklees,12/04/2000,1345
Kirklees,12/04/2000,1278
Kirklees,12/04/2000,846
Kirklees,12/04/2000,1123
Kirklees,12/04/2000,925
Kirklees,12/04/2000,1019
Kirklees,12/04/2000,1083
Kirklees,12/04/2000,1210
Kirklees,12/04/2000,1241
Kirklees,12/04/2000,1304
Kirklees,12/04/2000,1367
Kirklees,12/04/2000,1844
Kirklees,12/04/2000,2096
Kirklees,12/04/2000,1458
Kirklees,12/04/2000,1764
Kirklees,12/04/2000,2457
Kirklees,12/04/2000,1635
Kirklees,12/04/2000,1256
Kirklees,12/04/2000,1137
Kirklees,12/04/2000,1286
Kirklees,12/04/2000,1325
Kirklees,12/04/2000,1251
Kirklees,12/04/2000,1291
Kirklees,12/04/2000,1365
Kirklees,08/06/2000,516
Kirklees,08/06/2000,554
Kirklees,08/06/2000,535
Kirklees,08/06/2000,529
Kirklees,08/06/2000,546
Kirklees,08/06/2000,484
Kirklees,08/06/2000,569
Kirklees,08/06/2000,550
Kirklees,08/06/2000,587
Kirklees,08/06/2000,602
Kirklees,08/06/2000,776
Kirklees,08/06/2000,571
Kirklees,08/06/2000,627
Kirklees,08/06/2000,641
Kirklees,08/06/2000,513
Kirklees,08/06/2000,500
Kirklees,08/06/2000,543
Kirklees,08/06/2000,483
Kirklees,08/06/2000,554
Kirklees,08/06/2000,508
Kirklees,08/06/2000,539
Kirklees,08/06/2000,631
Kirklees,08/06/2000,610
Kirklees,08/06/2000,506
Kirklees,22/05/2000,592
Kirklees,22/05/2000,661
Kirklees,22/05/2000,579
Kirklees,22/05/2000,549
Kirklees,22/05/2000,544
Kirklees,22/05/2000,611
Kirklees,22/05/2000,608
Kirklees,22/05/2000,659
Kirklees,22/05/2000,658
Kirklees,22/05/2000,666
Kirklees,22/05/2000,762
Kirklees,22/05/2000,623
Kirklees,22/05/2000,510
Kirklees,22/05/2000,743
Kirklees,22/05/2000,583
Kirklees,22/05/2000,573
Kirklees,22/05/2000,554
Kirklees,22/05/2000,534
Kirklees,22/05/2000,584
Kirklees,22/05/2000,681
Kirklees,22/05/2000,647
Kirklees,22/05/2000,637
Kirklees,22/05/2000,775
Kirklees,22/05/2000,545
Kirklees,30/10/2000,3969
Kirklees,30/10/2000,4833
Kirklees,30/10/2000,4295
Kirklees,30/10/2000,3912
Kirklees,30/10/2000,3639
Kirklees,30/10/2000,3210
Kirklees,30/10/2000,3317
Kirklees,30/10/2000,3503
Kirklees,30/10/2000,3398
Kirklees,30/10/2000,3569
Kirklees,30/10/2000,3987
Kirklees,30/10/2000,4177
Kirklees,30/10/2000,3452
Kirklees,30/10/2000,4303
Kirklees,30/10/2000,4009
Kirklees,30/10/2000,4048
Kirklees,30/10/2000,3498
Kirklees,30/10/2000,2969
Kirklees,30/10/2000,3459
Kirklees,30/10/2000,3375
Kirklees,30/10/2000,3538
Kirklees,30/10/2000,3980
Kirklees,30/10/2000,4645
Kirklees,30/10/2000,5142
Kirklees,30/06/2000,243
Kirklees,30/06/2000,244
Kirklees,30/06/2000,248
Kirklees,30/06/2000,298
Kirklees,30/06/2000,333
Kirklees,30/06/2000,385
Kirklees,30/06/2000,435
Kirklees,30/06/2000,451
Kirklees,30/06/2000,336
Kirklees,30/06/2000,429
Kirklees,30/06/2000,474
Kirklees,30/06/2000,305
Kirklees,30/06/2000,247
Kirklees,30/06/2000,201
Kirklees,30/06/2000,250
Kirklees,30/06/2000,250
Kirklees,30/06/2000,281
Kirklees,30/06/2000,261
Kirklees,30/06/2000,326
Kirklees,30/06/2000,352
Kirklees,30/06/2000,311
Kirklees,30/06/2000,230
Kirklees,30/06/2000,271
Kirklees,30/06/2000,221
Kirklees,26/06/2000,946
Kirklees,26/06/2000,857
Kirklees,26/06/2000,791
Kirklees,26/06/2000,707
Kirklees,26/06/2000,657
Kirklees,26/06/2000,737
Kirklees,26/06/2000,787
Kirklees,26/06/2000,678
Kirklees,26/06/2000,832
Kirklees,26/06/2000,904
Kirklees,26/06/2000,947
Kirklees,26/06/2000,712
Kirklees,26/06/2000,774
Kirklees,26/06/2000,1066
Kirklees,26/06/2000,926
Kirklees,26/06/2000,723
Kirklees,26/06/2000,637
Kirklees,26/06/2000,713
Kirklees,26/06/2000,767
Kirklees,26/06/2000,811
Kirklees,26/06/2000,871
Kirklees,26/06/2000,1083
Kirklees,26/06/2000,1111
Kirklees,26/06/2000,1005
Kirklees,12/05/2000,50
Kirklees,12/05/2000,42
Kirklees,12/05/2000,47
Kirklees,12/05/2000,37
Kirklees,12/05/2000,48
Kirklees,12/05/2000,49
Kirklees,12/05/2000,44
Kirklees,12/05/2000,53
Kirklees,12/05/2000,78
Kirklees,12/05/2000,66
Kirklees,12/05/2000,102
Kirklees,12/05/2000,67
Kirklees,12/05/2000,49
Kirklees,12/05/2000,44
Kirklees,12/05/2000,26
Kirklees,12/05/2000,43
Kirklees,12/05/2000,41
Kirklees,12/05/2000,54
Kirklees,12/05/2000,39
Kirklees,12/05/2000,60
Kirklees,12/05/2000,53
Kirklees,12/05/2000,63
Kirklees,12/05/2000,77
Kirklees,12/05/2000,58
Kirklees,12/10/2000,1001
Kirklees,12/10/2000,1068
Kirklees,12/10/2000,664
Kirklees,12/10/2000,581
Kirklees,12/10/2000,630
Kirklees,12/10/2000,629
Kirklees,12/10/2000,668
Kirklees,12/10/2000,618
Kirklees,12/10/2000,589
Kirklees,12/10/2000,655
Kirklees,12/10/2000,704
Kirklees,12/10/2000,645
Kirklees,12/10/2000,513
Kirklees,12/10/2000,632
Kirklees,12/10/2000,513
Kirklees,12/10/2000,494
Kirklees,12/10/2000,574
Kirklees,12/10/2000,611
Kirklees,12/10/2000,647
Kirklees,12/10/2000,732
Kirklees,12/10/2000,696
Kirklees,12/10/2000,832
Kirklees,12/10/2000,1017
Kirklees,12/10/2000,741
Kirklees,05/05/2000,135
Kirklees,05/05/2000,147
Kirklees,05/05/2000,344
Kirklees,05/05/2000,306
Kirklees,05/05/2000,254
Kirklees,05/05/2000,151
Kirklees,05/05/2000,163
Kirklees,05/05/2000,171
Kirklees,05/05/2000,158
Kirklees,05/05/2000,176
Kirklees,05/05/2000,219
Kirklees,05/05/2000,251
Kirklees,05/05/2000,262
Kirklees,05/05/2000,231
Kirklees,05/05/2000,105
Kirklees,05/05/2000,143
Kirklees,05/05/2000,169
Kirklees,05/05/2000,203
Kirklees,05/05/2000,178
Kirklees,05/05/2000,253
Kirklees,05/05/2000,276
Kirklees,05/05/2000,278
Kirklees,05/05/2000,359
Kirklees,05/05/2000,310
Kirklees,05/10/2000,536
Kirklees,05/10/2000,567
Kirklees,05/10/2000,423
Kirklees,05/10/2000,420
Kirklees,05/10/2000,459
Kirklees,05/10/2000,442
Kirklees,05/10/2000,450
Kirklees,05/10/2000,491
Kirklees,05/10/2000,547
Kirklees,05/10/2000,696
Kirklees,05/10/2000,815
Kirklees,05/10/2000,567
Kirklees,05/10/2000,494
Kirklees,05/10/2000,735
Kirklees,05/10/2000,473
Kirklees,05/10/2000,361
Kirklees,05/10/2000,446
Kirklees,05/10/2000,417
Kirklees,05/10/2000,458
Kirklees,05/10/2000,474
Kirklees,05/10/2000,491
Kirklees,05/10/2000,566
Kirklees,05/10/2000,618
Kirklees,05/10/2000,613
Kirklees,02/05/2000,795
Kirklees,02/05/2000,889
Kirklees,02/05/2000,732
Kirklees,02/05/2000,535
Kirklees,02/05/2000,475
Kirklees,02/05/2000,460
Kirklees,02/05/2000,518
Kirklees,02/05/2000,467
Kirklees,02/05/2000,526
Kirklees,02/05/2000,545
Kirklees,02/05/2000,537
Kirklees,02/05/2000,454
Kirklees,02/05/2000,400
Kirklees,02/05/2000,512
Kirklees,02/05/2000,474
Kirklees,02/05/2000,472
Kirklees,02/05/2000,521
Kirklees,02/05/2000,526
Kirklees,02/05/2000,533
Kirklees,02/05/2000,610
Kirklees,02/05/2000,726
Kirklees,02/05/2000,978
Kirklees,02/05/2000,1038
Kirklees,02/05/2000,789
Kirklees,19/06/2000,1255
Kirklees,19/06/2000,1411
Kirklees,19/06/2000,1210
Kirklees,19/06/2000,1130
Kirklees,19/06/2000,1236
Kirklees,19/06/2000,1279
Kirklees,19/06/2000,1273
Kirklees,19/06/2000,1189
Kirklees,19/06/2000,1238
Kirklees,19/06/2000,1351
Kirklees,19/06/2000,1362
